data final,curso,Módulo,Aula,progresso_100,progresso_acumulado
2023-05-22,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,0.0
2023-05-22,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,0.0
2023-05-25,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,0.0
2023-05-26,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,0.0
2023-05-26,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,0.0
2023-06-01,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,0.0
2023-06-02,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,0.0
2023-06-03,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,0.0
2023-06-04,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,0.0
2023-06-05,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,0.0
2023-06-16,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,4 - Tipos de pesquisa,0.0,0.0
2023-06-22,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,"3 - Resumo, resenha e fichamento",0.0,0.0
2023-06-24,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,3 - Mudança empresarial e suas implicações,0.0,0.0
2023-06-26,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,"3 - Resumo, resenha e fichamento",0.0,0.0
2023-06-27,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,"3 - Resumo, resenha e fichamento",0.0,0.0
2023-06-27,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,4 - Tipos de pesquisa,0.0,0.0
2023-06-28,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,4 - Tipos de pesquisa,0.0,0.0
2023-06-28,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,6 - Fases da pesquisa bibliográfica,0.0,0.0
2023-06-28,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,3 - Mudança empresarial e suas implicações,0.0,0.0
2023-06-28,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,4 - O papel da resistência na gestão de mudanças,0.0,0.0
2023-06-29,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,5 - Instrumentos de pesquisa - Coleta de dados e observação,0.0,0.0
2023-06-30,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,4 - O papel da resistência na gestão de mudanças,0.0,0.0
2023-07-03,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,4 - Tipos de pesquisa,0.0,0.0
2023-07-03,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,6 - Fases da pesquisa bibliográfica,0.0,0.0
2023-07-03,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,3 - Mudança empresarial e suas implicações,0.0,0.0
2023-07-03,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,4 - O papel da resistência na gestão de mudanças,0.0,0.0
2023-07-04,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,5 - Instrumentos de pesquisa - Coleta de dados e observação,0.0,0.0
2023-07-04,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,7 - Projeto de Pesquisa,0.0,0.0
2023-07-05,Gestão de Recursos Humanos,1 -  Gestão Estratégica de Pessoas,3 - Os subsistemas de Recursos Humanos,1.0,1.0
2023-07-05,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,6 - Fases da pesquisa bibliográfica,0.0,1.0
2023-07-06,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,1.0
2023-07-07,Gestão de Recursos Humanos,1 -  Gestão Estratégica de Pessoas,4 - Gestão por competências como uma vantagem competitiva,1.0,2.0
2023-07-12,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,5 - Gerenciamento de um projeto envolvendo mudanças,0.0,2.0
2023-07-12,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",2 - Descrição e análise de cargo,0.0,2.0
2023-07-12,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",4 - Recrutamento de Pessoal,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,1 - Leitura e Escrita - Tipos e Regras,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,2 - Análise de textos - Interpretação,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,"3 - Resumo, resenha e fichamento",0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,4 - Tipos de pesquisa,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,5 - Instrumentos de pesquisa - Coleta de dados e observação,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,7 - Projeto de Pesquisa,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,8 - Normas ABNT,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,3 - Mudança empresarial e suas implicações,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,4 - O papel da resistência na gestão de mudanças,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,5 - Gerenciamento de um projeto envolvendo mudanças,0.0,2.0
2023-07-13,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",1 - O desafio de atrair e reter talentos,0.0,2.0
2023-07-14,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,6 - Fases da pesquisa bibliográfica,0.0,2.0
2023-07-14,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,2.0
2023-07-14,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,2.0
2023-07-14,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,5 - Gerenciamento de um projeto envolvendo mudanças,0.0,2.0
2023-07-14,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",2 - Descrição e análise de cargo,0.0,2.0
2023-07-17,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,2.0
2023-07-17,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,2.0
2023-07-17,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,5 - Gerenciamento de um projeto envolvendo mudanças,0.0,2.0
2023-07-17,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",4 - Recrutamento de Pessoal,0.0,2.0
2023-07-17,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",5 - Seleção de Pessoas,0.0,2.0
2023-07-18,Gestão de Recursos Humanos,1 -  Gestão Estratégica de Pessoas,2 - Mudanças no ambiente de trabalho,1.0,3.0
2023-07-18,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,3.0
2023-07-18,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,5 - Gerenciamento de um projeto envolvendo mudanças,0.0,3.0
2023-07-18,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",2 - Descrição e análise de cargo,0.0,3.0
2023-07-18,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",6 - Técnicas de Seleção de Pessoal,0.0,3.0
2023-07-19,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,2 - Análise de textos - Interpretação,0.0,3.0
2023-07-19,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,6 - Fases de um Projeto de mudança,0.0,3.0
2023-07-19,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",1 - O desafio de atrair e reter talentos,0.0,3.0
2023-07-20,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,"3 - Resumo, resenha e fichamento",0.0,3.0
2023-07-20,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,5 - Instrumentos de pesquisa - Coleta de dados e observação,0.0,3.0
2023-07-20,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,7 - Projeto de Pesquisa,0.0,3.0
2023-07-20,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,2 - Modelos de organizações modernas e processos de gestão,0.0,3.0
2023-07-20,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,6 - Fases de um Projeto de mudança,0.0,3.0
2023-07-21,Gestão de Recursos Humanos,10 - Metodologia da Pesquisa Científica sem correção de Artigos,7 - Projeto de Pesquisa,0.0,3.0
2023-07-21,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,3.0
2023-07-24,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,1 - As organizações e sua importância,0.0,3.0
2023-07-24,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",6 - Técnicas de Seleção de Pessoal,0.0,3.0
2023-07-24,Gestão de Recursos Humanos,"6 -  Recrutamento, Seleção e Integração do Colaborador",7 - Entrevista de Seleção,0.0,3.0
2023-07-25,Gestão de Recursos Humanos,5 - Gestão de Mudanças ,7 - O modelo de gerenciamento e a implantação de projetos,0.0,3.0
